t	x1	x2
90.9000	6.25143	6.28927
91.0000	6.2682	6.26169
91.1000	6.2916	6.27026
91.2000	6.26573	6.29648
91.3000	6.2752	6.2898
91.4000	6.26737	6.28421
91.5000	6.27763	6.26947
91.6000	6.2837	6.25134
91.7000	6.28461	6.28313
91.8000	6.27104	6.29786
91.9000	6.25793	6.30161
92.0000	6.2771	6.28323
92.1000	6.28498	6.26512
92.2000	6.27237	6.28311
92.3000	6.26734	6.31029
92.4000	6.28374	6.31503
92.5000	6.26091	6.28513
92.6000	6.27229	6.27696
92.7000	6.26052	6.27086
92.8000	6.28178	6.27923
92.9000	6.27455	6.29342
93.0000	6.29377	6.26889
93.1000	6.26335	6.25489
